"mls"	"price"	"type"	"ownership"	"size"	"stories"	"bathrooms"	"bedroomsAboveGrade"	"bedroomsBelowGrade"	"address"	"postalcode"	"longitude"	"latitude"	"lot"	"parking1Type"	"parking1Spaces"	"parking2Type"	"parking2Spaces"	"parking3Type"	"parking3Spaces"	"rawLow"	"url"
"1219288"	"339000"	"House"	"Freehold"	"2480"	"1"	"2"	"3"	0	"255 Dogberry Hill Road"	"A1M1C5"	"-52.879045"	"47.57329"	"111 x 210"	"Detached Garage"	""	""	""	""	""	"111 X210|10,890 - 21,799 sqft (1/4 - 1/2 ac)"	"https://www.realtor.ca//real-estate/22257835/255-dogberry-hill-road-stphilips"
"1219278"	"319900"	"House"	"Freehold"	"2700"	"1"	"2"	"5"	0	"44 Toronto Street"	"A1A2T4"	"-52.712932"	"47.596773"	"50 x 150"	"Attached Garage"	""	"Garage"	"1"	""	""	"50 x 150 approx.|under 1/2 acre"	"https://www.realtor.ca//real-estate/22257845/44-toronto-street-st-johns"
"1219279"	"249900"	"House"	"Freehold"	"2015"	"1"	"3"	"3"	"1"	"30 Barnacle Road"	"A1X2B1"	"-52.997127"	"47.508568"	"50 x 124 x 49 x 124"	""	""	""	""	""	""	"50x124x49x124|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22257844/30-barnacle-road-foxtrap"
"1219275"	"300000"	"House"	"Freehold"	"2376"	"2"	"1"	"3"	0	"64 Topsail Pond Road"	"A1L2B3"	"-52.906272"	"47.526861"	"1 acres"	"Detached Garage"	""	"Garage"	"2"	""	""	"1 acre|1 - 3 acres"	"https://www.realtor.ca//real-estate/22257847/64-topsail-pond-road-paradise"
"1219280"	"319900"	"House"	"Freehold"	"2488"	"2"	"3"	"3"	0	"11 Jacobs Place"	"A1N4J2"	"-52.822335"	"47.514074"	"54 x 105"	"Attached Garage"	""	"Garage"	"1"	""	""	"54 X 105|under 1/2 acre"	"https://www.realtor.ca//real-estate/22257843/11-jacobs-place-mount-pearl"
"1219264"	"309900"	"House"	"Freehold"	"2160"	"2"	"3"	"3"	0	"24 Marion's Gardens Place"	"A1X0J5"	"-52.97925"	"47.506137"	"44 x 115 x 67 x 121"	""	""	""	""	""	""	"44x115x67x121|under 1/2 acre"	"https://www.realtor.ca//real-estate/22256792/24-marions-gardens-place-conception-bay-south"
"1218914"	"210000"	"House"	"Freehold"	"2380"	"1"	"3"	"5"	"2"	"244 Freshwater Road"	"A1B1B2"	"-52.734465"	"47.563236"	"58 x 101"	""	""	""	""	""	""	"58x101"	"https://www.realtor.ca//real-estate/22254190/244-freshwater-road-st-johns"
"1219146"	"312900"	"House"	"Freehold"	"2289"	"2"	"3"	"3"	"1"	"31 Sweetenwater Crescent"	"A1W4T2"	"-52.93902"	"47.517249"	"72 x 100"	""	""	""	""	""	""	"72x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22252380/31-sweetenwater-crescent-conception-bay-south"
"1219244"	"249900"	"House"	"Freehold"	"1551"	"1"	"2"	"3"	0	"7 Denford Estates"	"A1W4G9"	"-52.93427"	"47.525141"	"50 x 100"	""	""	""	""	""	""	"50X100|under 1/2 acre"	"https://www.realtor.ca//real-estate/22252351/7-denford-estates-conception-bay-south"
"1219211"	"209900"	"House"	"Freehold"	"1100"	"1"	"2"	"3"	0	"363A Shearstown Road"	"A0A1G0"	"-53.315071"	"47.578112"	""	"Detached Garage"	""	""	""	""	""	"0.74 acres - 46 x 482 x 85 x 501"	"https://www.realtor.ca//real-estate/22252370/363a-shearstown-road-bay-roberts"
"1219180"	"328500"	"House"	"Freehold"	"2122"	"1"	"2"	"2"	"2"	"67 Eastbourne Crescent"	"A1A5J2"	"-52.71468"	"47.611627"	"49.3 x 98.4"	""	""	""	""	""	""	"49.3 x 98.4|.5 - 9.99 acres"	"https://www.realtor.ca//real-estate/22248932/67-eastbourne-crescent-st-johns"
"1218823"	"214900"	"House"	"Freehold"	"1400"	"1.5000"	"2"	"4"	0	"58 Aldershot Street"	"A1C4S1"	"-52.724151"	"47.566372"	"52 x 124"	""	""	""	""	""	""	"52 x 124|under 1/2 acre"	"https://www.realtor.ca//real-estate/22248940/58-aldershot-street-st-johns"
"1219181"	"264900"	"House"	"Freehold"	"2020"	"1"	"2"	"3"	0	"23 Searles Place"	"A1W3H6"	"-52.966931"	"47.515525"	"111 x 43 x 178 x 195"	""	""	""	""	""	""	"111 x 43 x 178 x 195|0-4,050 sqft"	"https://www.realtor.ca//real-estate/22248931/23-searles-place-long-pond"
"1219148"	"299900"	"House"	"Freehold"	"2414"	"2"	"3"	"3"	0	"158 Swansea Street"	"A1W4S3"	"-52.931935"	"47.512404"	"50 x 100"	""	""	""	""	""	""	"50x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22247218/158-swansea-street-conception-bay-south"
"1219008"	"259900"	"House"	"Freehold"	"2395"	"2"	"2"	"4"	0	"54 Freshwater Road"	"A1C2N5"	"-52.719509"	"47.56349"	"34 x 97 x 35 x 95"	""	""	""	""	""	""	"34x97x35x95|under 1/2 acre"	"https://www.realtor.ca//real-estate/22247229/54-freshwater-road-st-johns"
"1219083"	"359900"	"House"	"Freehold"	"1452"	"2"	"3"	"3"	0	"59 Nautilus Street"	"A1B0G5"	"-52.783945"	"47.551476"	"49 x 98"	"Attached Garage"	""	""	""	""	""	"49 X 98|under 1/2 acre"	"https://www.realtor.ca//real-estate/22247224/59-nautilus-street-st-johns"
"1219141"	"289900"	"House"	"Freehold"	"2500"	"1"	"3"	"3"	0	"90 Terra Nova Road"	"A1B1E9"	"-52.742616"	"47.55955"	"90 x 70"	"Attached Garage"	""	""	""	""	""	"90 x 70|under 1/2 acre"	"https://www.realtor.ca//real-estate/22243742/90-terra-nova-road-st-johns"
"1219075"	"299900"	"House"	"Freehold"	"1885"	"1"	"2"	"2"	0	"48 Jensen Camp Road"	"A1E0G1"	"-52.756372"	"47.547509"	"50 x 100"	"Attached Garage"	""	""	""	""	""	"50x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22243771/48-jensen-camp-road-st-johns"
"1219127"	"214900"	"House"	"Freehold"	"952"	"1"	"1"	"3"	0	"89 Seal Cove Road"	"A1X6S6"	"-53.070523"	"47.46978"	"65 x 128 x 65 x 126"	""	""	""	""	""	""	"65 X 128 X 65 X 126|under 1/2 acre"	"https://www.realtor.ca//real-estate/22243751/89-seal-cove-road-conception-bay-south"
"1219119"	"259900"	"House"	"Freehold"	"2248"	"1"	"2"	"3"	0	"2 Shoreline Estates"	"A0A1G0"	"-53.259922"	"47.599362"	""	""	""	""	""	""	""	"57' x 135' x 35' x 135 Approx|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22243756/2-shoreline-estates-bay-roberts"
"1219100"	"369900"	"House"	"Freehold"	"2459"	"1"	"3"	"3"	"1"	"34 Julieann Place"	"A1A5Z5"	"-52.692811"	"47.608602"	""	""	""	""	""	""	""	"4846 sq. ft.|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22242107/34-julieann-place-st-johns"
"1219101"	"219900"	"House"	"Freehold"	"2072"	"1"	"1"	"3"	0	"209 Old Bay Bulls Road"	"A1G1B5"	"-52.766602"	"47.5"	"75 x 116 x 75 x 116"	"Detached Garage"	""	""	""	""	""	"75x116x75x116|under 1/2 acre"	"https://www.realtor.ca//real-estate/22242106/209-old-bay-bulls-road-st-johns"
"27968903"	"239000"	"House"		"111.11 m2"	"1"	"1"	"4"	0	"3083 Route Du Fleuve"	"G0A2M0"	"-70.25682619"	"47.51221657"	""	"Detached Garage"	""	"Garage"	""	"Other"	""	"2396.2 m2"	"https://www.realtor.ca//real-estate/22238927/3083-route-du-fleuve-les-éboulements-les-éboulements"
"1219048"	"344900"	"House"	"Freehold"	"2100"	"1"	"2"	"3"	0	"167 Seal Cove Road"	"A1X5B8"	"-53.078046"	"47.466709"	"81 x 202 x 180 x 81"	"Attached Garage"	""	""	""	""	""	"81x202x180x81|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22235932/167-seal-cove-road-conception-bay-south"
"1219043"	"369900"	"House"	"Freehold"	"3300"	"1"	"3"	"3"	"1"	"309 Foxtrap Access Road"	"A1X7E8"	"-52.989185"	"47.484721"	"95.77 x 113.86 x 76"	"Attached Garage"	""	""	""	""	""	"95.77X113.86X76|under 1/2 acre"	"https://www.realtor.ca//real-estate/22235935/309-foxtrap-access-road-conception-bay-south"
"1219050"	"219900"	"House"	"Freehold"	"3072"	"1"	"2"	"3"	0	"6 Searles Lane"	"A0A4H0"	"-52.927216"	"47.638735"	"1.5 acres"	"Detached Garage"	""	""	""	""	""	"1.5 ACRES|1 - 3 acres"	"https://www.realtor.ca//real-estate/22235931/6-searles-lane-bell-island"
"1219030"	"349000"	"House"	"Freehold"	"1300"	"1"	"1"	"2"	0	"3 Middle Battery Road"	"A1A1A2"	"-52.696189"	"47.570869"	"42 x 20"	""	""	""	""	""	""	"42x20|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22234165/3-middle-battery-road-st-johns"
"1219016"	"369900"	"House"	"Freehold"	"1960"	"1"	"2"	"2"	"3"	"6-10 Powers Farm Road"	"A1K3G1"	"-52.688374"	"47.632394"	""	"Garage"	"2"	""	""	""	""	".622 Acres|21,780 - 32,669 sqft (1/2 - 3/4 ac)"	"https://www.realtor.ca//real-estate/22230363/6-10-powers-farm-road-logy-bay-middle-cove-outer-cove"
"1218962"	"319900"	"House"	"Freehold"	"2814"	"1"	"2"	"3"	0	"10 Gillingham Place"	"A1E4X9"	"-52.766323"	"47.533698"	"37 x 168 x 26 x 113 x 117"	""	""	""	""	""	""	"37x168x26x113x117|10,890 - 21,799 sqft (1/4 - 1/2 ac)"	"https://www.realtor.ca//real-estate/22230377/10-gillingham-place-st-johns"
"1218971"	"249000"	"House"	"Freehold"	"2160"	"1"	"1"	"3"	0	"46 Merrymeeting Road"	"A1C2V8"	"-52.718612"	"47.565637"	"45 x 100"	"Detached Garage"	""	""	""	""	""	"45 x 100|0-4,050 sqft"	"https://www.realtor.ca//real-estate/22228711/46-merrymeeting-road-st-johns"
"1218963"	"244900"	"House"	"Freehold"	"1539"	"2"	"1"	"3"	0	"181 Merrymeeting Road"	"A1C2W6"	"-52.723989"	"47.5639"	"24 x 74"	""	""	""	""	""	""	"24 x 74|under 1/2 acre"	"https://www.realtor.ca//real-estate/22227680/181-merrymeeting-road-st-johns"
"1218712"	"239000"	"House"	"Freehold"	"1538"	"2"	"2"	"3"	0	"94 Hamilton Avenue"	"A1E1H9"	"-52.717393"	"47.554842"	""	""	""	""	""	""	""	"Under 0.5 Acres|.5 - 9.99 acres"	"https://www.realtor.ca//real-estate/22227691/94-hamilton-avenue-st-johns"
"1218794"	"292500"	"House"	"Freehold"	"2070"	"1"	"3"	"3"	"1"	"8 Croydon Street"	"A1L1P5"	"-52.869047"	"47.527404"	"100 x 97 x 140"	""	""	""	""	""	""	"100 x 97 x 140|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22227688/8-croydon-street-paradise"
"1218943"	"319900"	"House"	"Freehold"	"1954"	"1"	"3"	"3"	0	"58 Terra Nova Road"	"A1B1E6"	"-52.739269"	"47.560645"	"60 x 120"	"Garage"	"1"	""	""	""	""	"60 x 120|under 1/2 acre"	"https://www.realtor.ca//real-estate/22225226/58-terra-nova-road-st-johns"
"1218888"	"349000"	"House"	"Freehold"	"2839"	"1.5000"	"3"	"5"	0	"132 Topsail Pond Road"	"A1L2H3"	"-52.906657"	"47.522641"	"2.6 acres"	""	""	""	""	""	""	"2.6 acres|1 - 3 acres"	"https://www.realtor.ca//real-estate/22219343/132-topsail-pond-road-paradise"
"1218863"	"264900"	"House"	"Freehold"	"1640"	"1"	"2"	"2"	"2"	"93 Elizabeth Drive"	"A1L1E5"	"-52.841084"	"47.540473"	"55 x 98 x 39 x 98"	""	""	""	""	""	""	"55x98x39x98|0-4,050 sqft"	"https://www.realtor.ca//real-estate/22217714/93-elizabeth-drive-paradise"
"1218822"	"250000"	"House"	"Freehold"	"1592"	"1"	"1"	"3"	0	"621 Southside Road"	"A1E1A4"	"-52.727871"	"47.539521"	"198 x 24 x 198 x 27"	""	""	""	""	""	""	"198x24x198x27"	"https://www.realtor.ca//real-estate/22217726/621-southside-road-st-johns"
"1218857"	"364000"	"House"	"Freehold"	"3200"	"2"	"3"	"4"	"1"	"10 Paddy Dobbin Drive"	"A1A4V4"	"-52.707569"	"47.61182"	"58 x 100 x 52 x 100"	"Garage"	"1"	"Detached Garage"	""	""	""	"58x100x52x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22217717/10-paddy-dobbin-drive-st-johns"
"1218788"	"259750"	"House"	"Freehold"	"1921"	"1"	"2"	"2"	"2"	"42 Eastmeadows Crescent"	"A1A3M1"	"-52.695474"	"47.60215"	"68 x 85 x 60 x 107"	""	""	""	""	""	""	"68x85x60x107|under 1/2 acre"	"https://www.realtor.ca//real-estate/22217200/42-eastmeadows-crescent-st-johns"
"1218791"	"324900"	"House"	"Freehold"	"2324"	"1"	"2"	"3"	0	"78 Petite Forte Drive"	"A1B0H1"	"-52.795685"	"47.554402"	"50 x 100"	""	""	""	""	""	""	"50x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22214620/78-petite-forte-drive-st-johns"
