"mls"	"price"	"type"	"ownership"	"size"	"stories"	"bathrooms"	"bedroomsAboveGrade"	"bedroomsBelowGrade"	"address"	"postalcode"	"longitude"	"latitude"	"lot"	"parking1Type"	"parking1Spaces"	"parking2Type"	"parking2Spaces"	"parking3Type"	"parking3Spaces"	"rawLow"	"url"
"1221633"	"315000"	"House"	"Freehold"	"2555"	"1"	"2"	"3"	0	"1468 Conception Bay Highway"	"A1X6M9"	"-53.062294"	"47.465421"	"71 x 194"	""	""	""	""	""	""	"71 x 194|0-4,050 sqft"	"https://www.realtor.ca//real-estate/22404808/1468-conception-bay-highway-conception-bay-south"
"1221646"	"209900"	"House"	"Freehold"	"2525"	"1"	"3"	"5"	0	"24 Ivimey Place"	"A1W4L7"	"-52.948548"	"47.526612"	"100 x 100"	""	""	""	""	""	""	"100x100|7,251 - 10,889 sqft"	"https://www.realtor.ca//real-estate/22400698/24-ivimey-place-conception-bay-south"
"1221568"	"245900"	"House"	"Freehold"	"1844"	"1"	"2"	"2"	"1"	"30 Comerfords Road"	"A1X4B3"	"-53.048396"	"47.479378"	"69 x 105 x 82 x 47"	""	""	""	""	""	""	"69 x 105 x 82 x 47|under 1/2 acre"	"https://www.realtor.ca//real-estate/22398865/30-comerfords-road-conception-bay-south"
"1221619"	"337500"	"House"	"Freehold"	"2480"	"1"	"2"	"3"	"1"	"27 Bletchley Crescent"	"A1N4V1"	"-52.800934"	"47.4998"	"47 x 100 x 75 x 107"	""	""	""	""	""	""	"47x100x75x107|0-4,050 sqft"	"https://www.realtor.ca//real-estate/22398860/27-bletchley-crescent-mount-pearl"
"1221596"	"335000"	"House"	"Freehold"	"2408"	"1"	"2"	"5"	0	"14 London Road"	"A1B2G8"	"-52.725685"	"47.591611"	"54 x 95 x 46 x 99"	""	""	""	""	""	""	"54X95X46X99|0-4,050 sqft"	"https://www.realtor.ca//real-estate/22398864/14-london-road-st-johns"
"1221513"	"309000"	"House"	"Freehold"	"2620"	"2"	"3"	"3"	0	"28 Penney Crescent"	"A1A5H2"	"-52.718519"	"47.601612"	"50 x 100"	""	""	""	""	""	""	"50X100|under 1/2 acre"	"https://www.realtor.ca//real-estate/22398870/28-penney-crescent-stjohns"
"1221591"	"279900"	"House"	"Freehold"	"1900"	"1"	"2"	"1"	"1"	"33 Millers Road"	"A1W2J4"	"-52.928441"	"47.537267"	"50 x 100"	""	""	""	""	""	""	"50x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22398081/33-millers-road-conception-bay-south"
"1221540"	"309900"	"House"	"Freehold"	"2158"	"1"	"2"	"3"	0	"25 Shriners Road"	"A1E4T3"	"-52.754268"	"47.548754"	"50 x 100"	""	""	""	""	""	""	"50x100|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22398092/25-shriners-road-st-johns"
"1221604"	"319000"	"House"	"Freehold"	"1611"	"1"	"4"	"2"	"1"	"48 Badcock Boulevard"	"A0A1G0"	"-53.286219"	"47.583228"	""	"Attached Garage"	""	"Garage"	"2"	""	""	"app. 65' by 115'|4,051 - 7,250 sqft"	"https://www.realtor.ca//real-estate/22398079/48-badcock-boulevard-bay-roberts"
"11644936"	"374000"	"House"		""	"1"	"2"	"3"	0	"320 Rue Notre-dame"	"G0L3Y0"	"-69.805296"	"47.532856"	""	"Garage"	""	"Other"	""	""	""	"835.6 m2"	"https://www.realtor.ca//real-estate/22396046/320-rue-notre-dame-saint-pascal"
"1221538"	"279000"	"House"	"Freehold"	"2213"	"1"	"3"	"4"	0	"15 Topsail Beach Road"	"A1W5V9"	"-52.920544"	"47.540822"	""	"Attached Garage"	""	"Carport"	""	"Garage"	"1"	"92x48x84x192x24x12x104x12x66"	"https://www.realtor.ca//real-estate/22395493/15-topsail-beach-road-conception-bay-south"
"1221598"	"315000"	"House"	"Freehold"	"2400"	"1"	"1"	"3"	"1"	"509 Newfoundland Drive"	"A1A4S7"	"-52.71833"	"47.597285"	"54 x 100"	""	""	""	""	""	""	"54x100|under 1/2 acre"	"https://www.realtor.ca//real-estate/22395475/509-newfoundland-drive-st-johns"
"1221558"	"359900"	"House"	"Freehold"	"2594"	"1"	"3"	"5"	0	"38 Smithville Crescent"	"A1B2V2"	"-52.724612"	"47.579212"	"56 x 134 x 66 x 139"	""	""	""	""	""	""	"56 X 134 X 66 X 139|7,251 - 10,889 sqft"	"https://www.realtor.ca//real-estate/22393662/38-smithville-crescent-st-johns"
"1221566"	"259900"	"House"	"Freehold"	"1920"	"1"	"2"	"3"	"1"	"7 Macguire Place"	"A1X1H6"	"-53.023049"	"47.485334"	"36 x 100 x 136 x 168"	"Attached Garage"	""	""	""	""	""	"36x100x136x168|under 1/2 acre"	"https://www.realtor.ca//real-estate/22393658/7-macguire-place-conception-bay-south"
"1221536"	"309900"	"House"	"Freehold"	"2031"	"1"	"2"	"2"	"1"	"79 Cape Pine Street"	"A1G0A6"	"-52.757373"	"47.502131"	"49.21 x 98.66"	""	""	""	""	""	""	"49.21 X 98.66|under 1/2 acre"	"https://www.realtor.ca//real-estate/22392873/79-cape-pine-street-st-johns"
"1220586"	"269900"	"House"	"Freehold"	"1800"	"2"	"2"	"3"	0	"9 Long Beach Street"	"A1G1X1"	"-52.760339"	"47.512241"	"40 x 100"	""	""	""	""	""	""	"40 x 100|under 1/2 acre"	"https://www.realtor.ca//real-estate/22392880/9-long-beach-street-st-johns"
